dataset,best_config,relation,relation_name,relation_gloss,relation_gloss_zh,mapping_type,mapping_direction,avg_tails_per_head,avg_heads_per_tail,train_triple_count_for_relation,test_triple_count,baseline_mrr,baseline_h1,final_mrr,final_h1,abs_mrr_gain,rel_mrr_gain_pct,num_relation_rules,num_relation_dependencies,dependency_per_rule,selected_stage,why_dependency_helps
FB15k-237,best_combination,16,/organization/organization/headquarters./location/mailing_address/country,organization -> organization -> headquarters. -> location -> mailing_address -> country,组织总部所在国家,N-1,many-to-one,1.01111,60.66667,182,7,0.45383,0.42857,0.47862,0.42857,0.02479,5.46238,580,2033,3.50517,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,157,/olympics/olympic_games/participating_countries,olympics -> olympic_games -> participating_countries,奥运会参赛国家,N-N,many-to-many,11.95122,2.8,490,23,0.42698,0.30435,0.44992,0.32609,0.02295,5.37442,8960,35840,4.0,dependency,Dependency helps when multiple partially informative rules fire together and their joint pattern is more reliable than either rule alone.
FB15k-237,best_combination,116,/film/film/music,film -> film -> music,电影配乐/音乐,N-1,many-to-one,1.08342,5.01932,1039,92,0.20497,0.13043,0.21385,0.14674,0.00889,4.33582,2463,1964,0.7974,dependency,This is close to an attribute-selection task; dependency helps enforce type compatibility and suppress conflicting candidates.
FB15k-237,best_combination,218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,location -> statistical_region -> places_exported_to. -> location -> imports_and_exports -> exported_to,统计区域出口到的地区/国家,N-N,many-to-many,2.86667,2.96552,172,13,0.18217,0.07692,0.19005,0.07692,0.00787,4.32147,2606,4795,1.83998,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,84,/film/film/produced_by,film -> film -> produced_by,电影制片方/制作公司,N-1,many-to-one,1.38919,3.35509,1285,60,0.38025,0.26667,0.3956,0.30833,0.01534,4.035,2937,6035,2.05482,dependency,This is close to an attribute-selection task; dependency helps enforce type compatibility and suppress conflicting candidates.
FB15k-237,best_combination,19,/award/award_nominee/award_nominations./award/award_nomination/award,award -> award_nominee -> award_nominations. -> award -> award_nomination -> award,被提名者所提名的奖项,N-N,many-to-many,3.64418,30.16625,12157,1067,0.20622,0.09653,0.21444,0.10825,0.00821,3.98238,50398,97814,1.94083,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,award -> award_ceremony -> awards_presented. -> award -> award_honor -> honored_for,颁奖典礼表彰的作品/事项,N-N,many-to-many,7.45082,1.64079,909,121,0.39314,0.2686,0.40724,0.2686,0.01409,3.5846,2200,1367,0.62136,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,64,/government/legislative_session/members./government/government_position_held/legislative_sessions,government -> legislative_session -> members. -> government -> government_position_held -> legislative_sessions,立法会期的成员/议员所属会期,N-N,many-to-many,14.03448,14.03448,814,13,0.39182,0.19231,0.40504,0.19231,0.01322,3.37349,8311,17090,2.05631,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
FB15k-237,best_combination,61,/education/educational_institution/colors,education -> educational_institution -> colors,教育机构代表颜色,N-N,many-to-many,1.80211,40.7619,856,90,0.22118,0.10556,0.22834,0.12222,0.00716,3.23847,1481,4237,2.8609,dependency,Dependency helps when multiple partially informative rules fire together and their joint pattern is more reliable than either rule alone.
FB15k-237,best_combination,63,/organization/role/leaders./organization/leadership/organization,organization -> role -> leaders. -> organization -> leadership -> organization,某角色对应的领导所属组织,1-N,one-to-many,63.0,1.03279,756,70,0.45599,0.37143,0.47029,0.37857,0.0143,3.13635,971,3884,4.0,dependency,Mediator/CVT-style relations have multiple complementary subpaths; dependency can reward co-firing rules that jointly identify the same role slot.
KG20C,init_dep_with_lift,1,author_write_paper,author write paper,作者撰写论文,N-N,many-to-many,1.53529,2.52073,12465,830,0.23051,0.14277,0.24791,0.15422,0.0174,7.5477,16644,3659,0.21984,dependency,"Only a small set of dependencies is active, suggesting the gain comes from a few high-precision interactions rather than dense accumulation."
WN18RR,structural_rd,6,_has_part, has part,具有组成部分,1-N,one-to-many,2.43478,1.20702,4816,172,0.20516,0.13372,0.21926,0.14535,0.0141,6.87496,5002,1372,0.27429,dependency,Hierarchical or roster-style relations benefit when several structural cues agree on the same expansion.
WN18RR,structural_rd,4,_member_meronym, member meronym,成员-整体关系,1-N,one-to-many,2.3916,1.00845,7402,253,0.31793,0.2253,0.32862,0.23715,0.01069,3.36086,2129,591,0.2776,dependency,Hierarchical or roster-style relations benefit when several structural cues agree on the same expansion.
YAGO3-10,structural_dep_scale,28,dealsWith,dealsWith,涉及/处理,N-N,many-to-many,5.91818,7.75,1302,7,0.26473,0.14286,0.32516,0.14286,0.06043,22.82627,5173,15381,2.97332,dependency,Dependency helps when multiple partially informative rules fire together and their joint pattern is more reliable than either rule alone.
YAGO3-10,structural_dep_scale,3,diedIn,diedIn,逝世于,N-1,many-to-one,1.0,4.89312,9248,49,0.18,0.11224,0.20078,0.13265,0.02078,11.54464,1492,960,0.64343,dependency,This is close to an attribute-selection task; dependency helps enforce type compatibility and suppress conflicting candidates.
YAGO3-10,structural_dep_scale,12,participatedIn,participatedIn,参与于,N-N,many-to-many,6.75853,5.94688,5150,19,0.33396,0.23684,0.36673,0.26316,0.03277,9.8124,8616,15765,1.82974,dependency,Dependency helps when multiple partially informative rules fire together and their joint pattern is more reliable than either rule alone.
YAGO3-10,structural_dep_scale,0,isLocatedIn,isLocatedIn,位于,N-N,many-to-many,2.23417,6.68113,88672,411,0.38799,0.31022,0.40666,0.32847,0.01868,4.81417,20377,16752,0.8221,dependency,Dependency helps when multiple partially informative rules fire together and their joint pattern is more reliable than either rule alone.
codex-l,structural_dep_scale,43,P749,Wikidata property code (local label unavailable),上级组织/母组织,N-1,many-to-one,1.07143,2.64,330,18,0.27503,0.16667,0.29319,0.22222,0.01817,6.60632,85,14,0.16471,dependency,This is close to an attribute-selection task; dependency helps enforce type compatibility and suppress conflicting candidates.
codex-l,structural_dep_scale,21,P737,Wikidata property code (local label unavailable),受……影响,N-N,many-to-many,2.58136,2.29173,1634,90,0.11394,0.05,0.11945,0.05,0.00551,4.83645,622,13,0.0209,dependency,"Baseline is moderate/low, so there is headroom; a few corroborating dependencies can produce a noticeable ranking jump."
codex-l,structural_dep_scale,17,P161,Wikidata property code (local label unavailable),演员/出演成员,N-N,many-to-many,6.60519,3.54513,23171,1239,0.08128,0.05004,0.08433,0.05367,0.00305,3.75152,7641,475,0.06216,dependency,"Baseline is moderate/low, so there is headroom; a few corroborating dependencies can produce a noticeable ranking jump."
codex-l,structural_dep_scale,35,P159,Wikidata property code (local label unavailable),总部所在地,N-1,many-to-one,1.05779,2.83502,842,32,0.34518,0.25,0.35593,0.26562,0.01075,3.11437,204,85,0.41667,dependency,This is close to an attribute-selection task; dependency helps enforce type compatibility and suppress conflicting candidates.
hetionet,best_combination,14,DrD,Disease resembles Disease,疾病与疾病相似,N-N,many-to-many,4.1068,4.27273,423,62,0.26286,0.14516,0.30949,0.17742,0.04663,17.74063,583,182,0.31218,dependency,Biomedical similarity depends on multiple corroborating gene/symptom paths; dependency helps require co-support instead of a single noisy rule.
hetionet,best_combination,13,DpS,Disease presents Symptom,疾病表现出症状,N-N,many-to-many,20.34586,6.52048,2706,344,0.23266,0.11337,0.24077,0.11773,0.00811,3.48682,3490,354,0.10143,dependency,Disease-symptom links are multi-causal; dependency helps combine complementary symptom-generation rules.
