dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,19,/award/award_nominee/award_nominations./award/award_nomination/award,1067,0.19942,0.20654,0.21871,0.01929,9.67436,0.01217,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,20,/music/genre/artists,664,0.26029,0.26426,0.27177,0.01148,4.41022,0.00751,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,21,/influence/influence_node/influenced_by,235,0.14440,0.14997,0.14997,0.00557,3.85835,0.00000,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,23,/organization/organization_member/member_of./organization/organization_membership/organization,96,0.51631,0.54561,0.54289,0.02657,5.14660,-0.00272,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,24,/people/person/place_of_birth,170,0.13149,0.13712,0.13712,0.00564,4.28928,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,258,0.40877,0.42478,0.42478,0.01600,3.91434,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,30,/award/award_winning_work/awards_won./award/award_honor/award,118,0.17743,0.17565,0.19113,0.01370,7.72298,0.01548,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,31,/film/film/genre,722,0.30315,0.31292,0.31514,0.01200,3.95694,0.00223,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,35,/government/legislative_session/members./government/government_position_held/district_represented,117,0.86581,0.87382,0.90942,0.04361,5.03650,0.03560,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,44,/business/job_title/people_with_this_title./business/employment_tenure/company,85,0.26309,0.28207,0.28172,0.01863,7.08216,-0.00035,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,32,0.05312,0.06226,0.06226,0.00914,17.21281,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,47,/award/award_category/winners./award/award_honor/award_winner,217,0.17377,0.18866,0.18414,0.01037,5.96525,-0.00453,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,52,/music/genre/parent_genre,97,0.16270,0.20479,0.20479,0.04209,25.87013,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,55,0.39997,0.39997,0.42725,0.02728,6.82020,0.02728,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,59,/film/film_subject/films,77,0.20250,0.21491,0.21512,0.01262,6.23184,0.00022,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,63,/organization/role/leaders./organization/leadership/organization,70,0.46154,0.45710,0.48191,0.02037,4.41406,0.02481,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,65,/olympics/olympic_games/sports,13,0.26323,0.28773,0.41538,0.15216,57.80471,0.12766,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,70,/language/human_language/countries_spoken_in,25,0.30643,0.33693,0.38072,0.07429,24.24287,0.04379,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,74,/film/film/other_crew./film/film_crew_gig/crewmember,26,0.14902,0.15716,0.15716,0.00814,5.46377,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,76,/music/record_label/artist,266,0.15688,0.16583,0.16583,0.00895,5.70725,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,80,/sports/sports_team/sport,53,0.69351,0.72085,0.72754,0.03403,4.90744,0.00669,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,83,/organization/organization/headquarters./location/mailing_address/citytown,55,0.22785,0.24613,0.25072,0.02287,10.03771,0.00458,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,87,/location/country/second_level_divisions,46,0.64685,0.64708,0.70536,0.05852,9.04652,0.05828,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,93,/government/politician/government_positions_held./government/government_position_held/legislative_sessions,30,0.73453,0.74173,0.80616,0.07164,9.75257,0.06443,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,103,/award/award_ceremony/awards_presented./award/award_honor/honored_for,121,0.38274,0.39102,0.41317,0.03044,7.95233,0.02216,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,106,/film/film/featured_film_locations,100,0.14772,0.15730,0.16196,0.01424,9.63919,0.00465,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,112,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,63,0.39827,0.45602,0.44354,0.04528,11.36903,-0.01247,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,115,/film/film/film_format,39,0.45945,0.48953,0.50346,0.04402,9.58019,0.01393,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,116,/film/film/music,92,0.18618,0.20515,0.21442,0.02824,15.16701,0.00927,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,120,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,84,0.75434,0.74990,0.79345,0.03911,5.18420,0.04354,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,122,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,31,0.12449,0.13064,0.13064,0.00615,4.94285,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,124,/education/educational_institution/school_type,80,0.35135,0.35057,0.38475,0.03339,9.50413,0.03418,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,136,/film/film/executive_produced_by,73,0.42057,0.43976,0.43976,0.01919,4.56263,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,138,/music/group_member/membership./music/group_membership/group,22,0.34287,0.36382,0.36034,0.01747,5.09600,-0.00348,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,140,/education/field_of_study/students_majoring./education/education/student,34,0.15888,0.18103,0.18191,0.02303,14.49410,0.00087,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,147,/film/film/distributors./film/film_film_distributor_relationship/region,10,0.56497,0.57468,0.76833,0.20336,35.99515,0.19365,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,151,/people/ethnicity/geographic_distribution,17,0.39387,0.41007,0.41007,0.01620,4.11340,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,153,/film/film/personal_appearances./film/personal_film_appearance/person,11,0.17994,0.20013,0.20013,0.02020,11.22604,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,157,/olympics/olympic_games/participating_countries,23,0.45873,0.47378,0.47378,0.01505,3.28132,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,158,/tv/tv_network/programs./tv/tv_network_duration/program,26,0.19074,0.20668,0.20668,0.01594,8.35707,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,159,/people/person/employment_history./business/employment_tenure/company,24,0.09426,0.09902,0.09910,0.00484,5.13619,0.00008,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,163,/time/event/locations,34,0.17877,0.18188,0.18885,0.01007,5.63422,0.00697,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,173,/film/film_set_designer/film_sets_designed,8,0.23048,0.26612,0.26853,0.03806,16.51218,0.00241,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,174,/user/jg/default_domain/olympic_games/sports,11,0.24042,0.26380,0.26380,0.02338,9.72316,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,177,/music/artist/contribution./music/recording_contribution/performance_role,14,0.20059,0.20996,0.20998,0.00939,4.68379,0.00002,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,179,/government/politician/government_positions_held./government/government_position_held/basic_title,16,0.54398,0.59711,0.59687,0.05290,9.72406,-0.00024,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,183,/film/film/cinematography,17,0.33953,0.36026,0.36005,0.02052,6.04277,-0.00021,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,184,/film/film/film_production_design_by,10,0.37363,0.39162,0.39162,0.01798,4.81298,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,188,/education/field_of_study/students_majoring./education/education/major_field_of_study,11,0.23111,0.23111,0.25163,0.02051,8.87546,0.02051,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,191,/film/film/film_festivals,18,0.19895,0.26012,0.26012,0.06117,30.74384,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,193,/film/film/runtime./film/film_cut/film_release_region,9,0.11941,0.13848,0.13848,0.01907,15.97064,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,198,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language,21,0.66070,0.66070,0.70358,0.04288,6.48941,0.04288,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,199,/organization/organization/place_founded,16,0.09360,0.10217,0.10217,0.00858,9.16193,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,203,/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,20,0.25819,0.25819,0.26834,0.01015,3.93103,0.01015,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,207,/organization/organization/child./organization/organization_relationship/child,20,0.22858,0.24915,0.24924,0.02066,9.04023,0.00010,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,218,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,13,0.18549,0.18225,0.19321,0.00773,4.16483,0.01097,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,221,/location/country/official_language,16,0.27862,0.35018,0.35018,0.07156,25.68450,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,230,/film/film/prequel,18,0.35143,0.37986,0.38026,0.02883,8.20348,0.00040,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,235,/music/instrument/family,6,0.20394,0.21885,0.22337,0.01942,9.52307,0.00452,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,16,P119,324,0.29132,0.29603,0.30290,0.01158,3.97628,0.00687,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,17,P161,1239,0.08128,0.08483,0.08483,0.00355,4.36937,0.00000,rule_only
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,21,P737,90,0.11394,0.11684,0.12575,0.01181,10.36119,0.00891,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,22,P740,72,0.23119,0.24007,0.25025,0.01906,8.24445,0.01018,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,35,P159,32,0.34518,0.36770,0.36805,0.02286,6.62382,0.00034,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,39,P135,51,0.28819,0.30242,0.30242,0.01424,4.93971,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0,isLocatedIn,411,0.38799,0.39340,0.40299,0.01501,3.86824,0.00959,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,3,diedIn,49,0.18000,0.18210,0.19834,0.01834,10.18931,0.01623,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,8,happenedIn,21,0.40591,0.37941,0.43195,0.02604,6.41434,0.05254,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,10,isConnectedTo,150,0.50798,0.51931,0.52430,0.01632,3.21262,0.00499,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,14,hasWonPrize,111,0.26369,0.26070,0.27407,0.01038,3.93533,0.01337,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,15,influences,47,0.14066,0.14565,0.14565,0.00499,3.54986,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,18,edited,22,0.27644,0.26786,0.28698,0.01054,3.81390,0.01912,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,28,dealsWith,7,0.26473,0.31554,0.32504,0.06031,22.78170,0.00950,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,30,hasCapital,13,0.62149,0.64077,0.64077,0.01928,3.10266,0.00000,rule_only
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,1,AeG,53477,0.32228,0.36033,0.36033,0.03806,11.80893,0.00000,rule_only
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,3,CbG,1068,0.35817,0.36098,0.36928,0.01111,3.10158,0.00829,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,4,CcSE,13524,0.21476,0.26143,0.26143,0.04667,21.73180,0.00000,rule_only
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,5,CrC,663,0.47474,0.48630,0.49149,0.01675,3.52855,0.00520,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,14,DrD,62,0.22111,0.27039,0.26762,0.04652,21.03749,-0.00276,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,19,GpBP,55675,0.59828,0.59828,0.66774,0.06946,11.61013,0.06946,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,22,Gr>G,27325,0.03660,0.03766,0.03794,0.00135,3.67620,0.00029,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,23,PCiC,64,0.51121,0.53459,0.53265,0.02144,4.19420,-0.00193,dependency
