dataset,relation,rr_source_stage1,rr_source_stage2,n_rows
FB15k-237,/music/artist/origin,true,true,67
FB15k-237,/music/artist/track_contributions./music/track_contribution/role,true,true,304
FB15k-237,/music/genre/artists,true,true,1327
FB15k-237,/music/genre/parent_genre,true,true,194
FB15k-237,/music/group_member/membership./music/group_membership/group,true,true,44
FB15k-237,/music/group_member/membership./music/group_membership/role,true,true,58
FB15k-237,/music/instrument/family,true,true,12
FB15k-237,/music/instrument/instrumentalists,true,true,306
FB15k-237,/music/performance_role/guest_performances./music/recording_contribution/performance_role,true,true,4
FB15k-237,/music/performance_role/regular_performances./music/group_membership/group,true,true,334
FB15k-237,/music/performance_role/regular_performances./music/group_membership/role,true,true,80
FB15k-237,/music/performance_role/track_performances./music/track_contribution/role,true,true,106
FB15k-237,/music/record_label/artist,true,true,531
FB15k-237,/olympics/olympic_games/medals_awarded./olympics/olympic_medal_honor/medal,true,true,32
FB15k-237,/olympics/olympic_games/participating_countries,true,true,46
FB15k-237,/olympics/olympic_games/sports,true,true,26
FB15k-237,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,true,true,62
FB15k-237,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,true,true,76
FB15k-237,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,true,true,126
FB15k-237,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,true,true,516
FB15k-237,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,true,true,16
FB15k-237,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,true,true,6
FB15k-237,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,true,true,44
FB15k-237,/organization/organization/child./organization/organization_relationship/child,true,true,40
FB15k-237,/organization/organization/headquarters./location/mailing_address/citytown,true,true,110
FB15k-237,/organization/organization/headquarters./location/mailing_address/country,true,true,14
FB15k-237,/organization/organization/headquarters./location/mailing_address/state_province_region,true,true,78
FB15k-237,/organization/organization/place_founded,true,true,31
FB15k-237,/organization/organization_founder/organizations_founded,true,true,16
FB15k-237,/organization/organization_member/member_of./organization/organization_membership/organization,true,true,192
FB15k-237,/organization/role/leaders./organization/leadership/organization,true,true,140
FB15k-237,/people/cause_of_death/people,true,true,186
FB15k-237,/people/deceased_person/place_of_burial,true,true,18
FB15k-237,/people/deceased_person/place_of_death,true,true,155
FB15k-237,/people/ethnicity/geographic_distribution,true,true,34
FB15k-237,/people/ethnicity/languages_spoken,true,true,58
FB15k-237,/people/ethnicity/people,true,true,502
FB15k-237,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,true,true,106
FB15k-237,/people/person/employment_history./business/employment_tenure/company,true,true,48
FB15k-237,/people/person/gender,true,true,871
FB15k-237,/people/person/languages,true,true,196
FB15k-237,/people/person/nationality,true,true,988
FB15k-237,/people/person/place_of_birth,true,true,340
FB15k-237,/people/person/places_lived./people/place_lived/location,true,true,610
FB15k-237,/people/person/profession,true,true,2621
FB15k-237,/people/person/religion,true,true,254
FB15k-237,/people/person/sibling_s./people/sibling_relationship/sibling,true,true,14
FB15k-237,/people/person/spouse_s./people/marriage/location_of_ceremony,true,true,68
FB15k-237,/people/person/spouse_s./people/marriage/spouse,true,true,6
FB15k-237,/people/person/spouse_s./people/marriage/type_of_union,true,true,692
FB15k-237,/people/profession/specialization_of,true,true,21
FB15k-237,/soccer/football_player/current_team./sports/sports_team_roster/team,true,true,18
FB15k-237,/soccer/football_team/current_roster./soccer/football_roster_position/position,true,true,20
FB15k-237,/soccer/football_team/current_roster./sports/sports_team_roster/position,true,true,24
FB15k-237,/sports/pro_athlete/teams./sports/sports_team_roster/team,true,true,32
FB15k-237,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,true,true,86
FB15k-237,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,true,true,172
FB15k-237,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,true,true,33
FB15k-237,/sports/sports_league/teams./sports/sports_league_participation/team,true,true,32
FB15k-237,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,true,true,84
FB15k-237,/sports/sports_position/players./sports/sports_team_roster/team,true,true,44
FB15k-237,/sports/sports_team/colors,true,true,154
FB15k-237,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,true,true,2
FB15k-237,/sports/sports_team/roster./american_football/football_roster_position/position,true,true,6
FB15k-237,/sports/sports_team/roster./baseball/baseball_roster_position/position,true,true,6
FB15k-237,/sports/sports_team/roster./basketball/basketball_roster_position/position,true,true,4
FB15k-237,/sports/sports_team/sport,true,true,106
FB15k-237,/sports/sports_team_location/teams,true,true,97
FB15k-237,/time/event/instance_of_recurring_event,true,true,18
FB15k-237,/time/event/locations,true,true,68
FB15k-237,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,true,true,120
FB15k-237,/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation,true,true,40
FB15k-237,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,true,true,14
FB15k-237,/tv/tv_network/programs./tv/tv_network_duration/program,true,true,51
FB15k-237,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,true,true,22
FB15k-237,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,true,true,44
FB15k-237,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,true,true,8
FB15k-237,/tv/tv_program/country_of_origin,true,true,64
FB15k-237,/tv/tv_program/genre,true,true,188
FB15k-237,/tv/tv_program/languages,true,true,48
FB15k-237,/tv/tv_program/program_creator,true,true,4
FB15k-237,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,true,true,182
FB15k-237,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,true,true,22
FB15k-237,/tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program,true,true,18
FB15k-237,/user/alexander/philosophy/philosopher/interests,true,true,18
FB15k-237,/user/jg/default_domain/olympic_games/sports,true,true,22
FB15k-237,/user/ktrueman/default_domain/international_organization/member_states,true,true,48
FB15k-237,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,true,true,95
KG20C,author_in_affiliation,true,true,960
KG20C,author_write_paper,true,true,1660
KG20C,paper_cite_paper,true,true,1198
KG20C,paper_in_domain,true,true,2892
KG20C,paper_in_venue,true,true,738
WN18RR,_also_see,scaled_fallback,scaled_fallback,112
WN18RR,_derivationally_related_form,scaled_fallback,scaled_fallback,1865
WN18RR,_derivationally_related_form,true,true,283
WN18RR,_has_part,scaled_fallback,scaled_fallback,292
WN18RR,_has_part,true,true,49
WN18RR,_hypernym,scaled_fallback,scaled_fallback,1790
WN18RR,_hypernym,true,true,526
WN18RR,_instance_hypernym,scaled_fallback,scaled_fallback,177
WN18RR,_instance_hypernym,true,true,56
WN18RR,_member_meronym,scaled_fallback,scaled_fallback,244
WN18RR,_member_meronym,true,true,255
WN18RR,_member_of_domain_region,scaled_fallback,scaled_fallback,43
WN18RR,_member_of_domain_region,true,true,9
WN18RR,_member_of_domain_usage,scaled_fallback,scaled_fallback,42
WN18RR,_member_of_domain_usage,true,true,4
WN18RR,_similar_to,scaled_fallback,scaled_fallback,6
WN18RR,_synset_domain_topic_of,scaled_fallback,scaled_fallback,205
WN18RR,_synset_domain_topic_of,true,true,19
WN18RR,_verb_group,scaled_fallback,scaled_fallback,78
YAGO3-10,actedIn,true,true,345
YAGO3-10,created,true,true,97
YAGO3-10,dealsWith,true,true,14
YAGO3-10,diedIn,true,true,98
YAGO3-10,directed,true,true,60
YAGO3-10,edited,true,true,44
YAGO3-10,exports,true,true,6
YAGO3-10,graduatedFrom,true,true,84
YAGO3-10,happenedIn,true,true,42
YAGO3-10,hasAcademicAdvisor,true,true,10
YAGO3-10,hasCapital,true,true,24
YAGO3-10,hasChild,true,true,47
YAGO3-10,hasGender,true,true,593
YAGO3-10,hasMusicalRole,true,true,72
YAGO3-10,hasNeighbor,true,true,4
YAGO3-10,hasOfficialLanguage,true,true,4
YAGO3-10,hasWebsite,true,true,2
YAGO3-10,hasWonPrize,true,true,221
YAGO3-10,influences,true,true,93
YAGO3-10,isAffiliatedTo,true,true,3346
YAGO3-10,isCitizenOf,true,true,30
YAGO3-10,isConnectedTo,true,true,300
YAGO3-10,isInterestedIn,true,true,4
YAGO3-10,isLeaderOf,true,true,8
YAGO3-10,isLocatedIn,true,true,810
YAGO3-10,isMarriedTo,true,true,34
YAGO3-10,isPoliticianOf,true,true,20
YAGO3-10,livesIn,true,true,22
YAGO3-10,owns,true,true,7
YAGO3-10,participatedIn,true,true,38
YAGO3-10,playsFor,true,true,2983
YAGO3-10,wasBornIn,true,true,419
YAGO3-10,worksAt,true,true,30
YAGO3-10,wroteMusicFor,true,true,64
codex-l,P101,true,true,567
codex-l,P102,true,true,1262
codex-l,P1050,true,true,69
codex-l,P106,true,true,18851
codex-l,P108,true,true,1283
codex-l,P112,true,true,9
codex-l,P113,true,true,40
codex-l,P114,true,true,2
codex-l,P119,true,true,644
codex-l,P123,true,true,12
codex-l,P1303,true,true,1168
codex-l,P131,true,true,644
codex-l,P135,true,true,102
codex-l,P136,true,true,2802
codex-l,P138,true,true,27
codex-l,P140,true,true,692
codex-l,P1412,true,true,3985
codex-l,P1454,true,true,4
codex-l,P149,true,true,1
codex-l,P159,true,true,64
codex-l,P161,true,true,2478
codex-l,P169,true,true,1
codex-l,P17,true,true,792
codex-l,P170,true,true,54
codex-l,P172,true,true,393
codex-l,P19,true,true,3850
codex-l,P1995,true,true,8
codex-l,P20,true,true,2459
codex-l,P2176,true,true,6
codex-l,P2283,true,true,12
codex-l,P2348,true,true,70
codex-l,P26,true,true,210
codex-l,P264,true,true,780
codex-l,P27,true,true,6554
codex-l,P30,true,true,108
codex-l,P3373,true,true,264
codex-l,P36,true,true,92
codex-l,P361,true,true,133
codex-l,P37,true,true,222
codex-l,P40,true,true,165
codex-l,P407,true,true,100
codex-l,P451,true,true,48
codex-l,P452,true,true,12
codex-l,P4552,true,true,38
codex-l,P463,true,true,1940
codex-l,P466,true,true,8
codex-l,P47,true,true,854
codex-l,P488,true,true,2
codex-l,P495,true,true,674
codex-l,P50,true,true,20
codex-l,P509,true,true,784
codex-l,P530,true,true,630
codex-l,P54,true,true,74
codex-l,P551,true,true,490
codex-l,P57,true,true,149
codex-l,P641,true,true,370
codex-l,P69,true,true,3374
codex-l,P737,true,true,178
codex-l,P740,true,true,144
codex-l,P749,true,true,36
codex-l,P780,true,true,12
codex-l,P84,true,true,4
codex-l,P840,true,true,309
codex-m,P101,true,true,249
codex-m,P102,true,true,266
codex-m,P1050,true,true,40
codex-m,P106,true,true,7269
codex-m,P108,true,true,517
codex-m,P112,true,true,2
codex-m,P119,true,true,181
codex-m,P1303,true,true,594
codex-m,P131,true,true,24
codex-m,P135,true,true,38
codex-m,P136,true,true,1182
codex-m,P138,true,true,3
codex-m,P140,true,true,240
codex-m,P1412,true,true,1196
codex-m,P159,true,true,16
codex-m,P161,true,true,896
codex-m,P17,true,true,158
codex-m,P172,true,true,264
codex-m,P19,true,true,678
codex-m,P20,true,true,520
codex-m,P2348,true,true,28
codex-m,P26,true,true,106
codex-m,P264,true,true,338
codex-m,P27,true,true,1658
codex-m,P30,true,true,36
codex-m,P3373,true,true,86
codex-m,P361,true,true,23
codex-m,P37,true,true,25
codex-m,P40,true,true,27
codex-m,P407,true,true,2
codex-m,P451,true,true,31
codex-m,P463,true,true,1166
codex-m,P495,true,true,230
codex-m,P509,true,true,296
codex-m,P530,true,true,594
codex-m,P551,true,true,208
codex-m,P57,true,true,59
codex-m,P641,true,true,22
codex-m,P69,true,true,996
codex-m,P737,true,true,142
codex-m,P740,true,true,16
codex-m,P749,true,true,2
codex-m,P840,true,true,170
hetionet,AdG,true,true,20928
hetionet,AeG,true,scaled_fallback,106954
hetionet,AuG,true,true,20072
hetionet,CbG,true,true,2136
hetionet,CcSE,true,true,27048
hetionet,CdG,true,true,4268
hetionet,CpD,true,true,66
hetionet,CrC,true,true,1326
hetionet,CtD,true,true,142
hetionet,CuG,true,true,3840
hetionet,DaG,true,true,2604
hetionet,DdG,true,true,1554
hetionet,DlA,true,true,732
hetionet,DpS,true,true,688
hetionet,DrD,true,true,124
hetionet,DuG,true,true,1528
hetionet,GcG,true,true,10502
hetionet,GiG,true,true,29120
hetionet,GpBP,true,true,111350
hetionet,GpCC,true,true,14300
hetionet,GpMF,true,true,19258
hetionet,GpPW,true,true,16722
hetionet,Gr>G,true,true,54650
hetionet,PCiC,true,true,128
